text,toxic
Мен сіздің назарыңызға маэстроның поэтикалық беттерін аударамын.,0
"Талдаудың орнына, сіз Alexei Navalny - Fucking балаларының пікірлерін көресіз",0
Себебі Батыс бұл қоқысты екі жүз жыл бұрын өткізді.,0
Сыраны ішкен - және қазір беріліңіз!,1
"Нестрман өмірде автокөлік, Карлан, содан кейін өзін жақсы ұстады.",0
"Енді әлемнің барлық авиакомпаниялары Google Card мамандарымен бірге қазақтарға қарап, аналарыңыз қандай, жақсы, не туралы ойлайды.",1
Сіз ол жерде жоқ нәрсені іздейсіз.,0
Тағы бір розеткалар сыйға ақша табуды шешті,1
Егіз ақымақ сөздер сөйлеу бостандығын аузуға және қоқыс малынан ашуландыратын бостандық деп санайды.,1
"Әйел - бұл жаратылыс тәжі, есіңізде болсын, бұл Ванка!",1
Тұрғын үй мәселесі бұл елде өте маңызды.,0
Bravo!,0
"Двачну, су деңгейінің бұл экспозициясы дымқыл болып шығады !!!!",1
"Қарғыс айтқан коммунистер адамзатты капитализмнің құлдықтан құтқарғаны үшін жүз жыл бойы жүз жылдай тырысты, жалпы алғанда, олар бастар.",1
"Жылқы фаг, Тарков бермеді!",1
1. Орыс тілінде сөйлейді.,1
Бауманка артта қалды,0
"Әлбетте, Лоза Хуплет, мен де бекіттім",1
"Мен ешқашан Курицинаға ренжімеймін, бірақ бұл жолы мен сөзсіз, мен мамиле!",1
Евровидение өзіне жақсарсын.,0
Ресей империясында неге ол басқаша болды?,0
Жек көрушілікпен репост?,0
Жаман нәрсе сияқты.,0
"Сіз қаншалықты ақылды және жылы, сіз анам мен әкеммен сыйлықтар, пара және байланыстарды қалай орап тастадыңыз.",0
"Хей Михалёб, оның ішінде температура бар, ол мұнда Chuy-ді көруге мүмкіндік береді",0
"Мен таңертең домалатып, бөртпелерде байсалды көзге түсті.",1
"Осы ғасырда түсірілген фильмді торренттерде де табуға болмайды, тіпті бұл фильмге ешкім қажет емес деп санайды.",1
"Меніңше, олардың салыстырмалығы теориясы, олар материалды жоққа шығарды.",0
Мен Wikipedia-дан екі ойынға қатысты фактілерді шайнаудың бірдей ақымақ екендігі туралы айтамын.,0
Хахатритандықтардың дезинфекциясына сенбеңіз.,1
"Дереу емес, Ватан газеті несие ноутбукіне жүгірді.",1
"Ия, бер!",0
Русня ақ ерлер,1
"Сонымен, қуыршақ тентек.",0
Олар шаршатумен айналысады.,0
"Дереу шекті, альпистоксо штрихқа наразылық білдіре алады)) маэстроға дереу тыйым салынған еді) немесе оларға Sorcasm үшін тыйым салынбаған, бірақ тек тікелей мәлімдемелер үшін?",0
"Украиндар бекер емес, шошқа шақырады.",1
"Тіпті сол жақта да, Сталинде серуендеп, Сталинге жүгіріп, жұмыстан кейін жаңа YYTUBE көшбасшыларын насихаттауға арналған гирусты алмастыра отырып, одан да тиімді көрінеді?",1
65 Неге аз?,0
ұнату;,0
Анимахтағы зәр реакцияны өлтіруді шешті.,1
Шошқа маскүнемдері қайдан қару-жарақтарын алды?,1
"Гриффиндор сізге айтпайды, мен қолдаймын.",0
"Славик-неміс (украин тілдері), бірақ мен Польшада уақытша тұрамын.",0
"Аспанда пайда болған нәрсе - бұл туралы Черзобровқа бұл туралы, таудың рухы, өлі дятловцы туралы айтылған туристерді қорқытады.",0
"Ол жақсы ойнайды, бірақ ер адам ретінде ол жоқ.",0
"Мен ЕО-да зәр шығарып, олар осындай фуктордан кейін және дұрыс істегеннен кейін зәр шығарамын.",1
"Мен сізді сорғыштар сияқты сезінемін, онда көптеген майлы майлы және рахит дене позитивизміне қарсы тұрады.",1
Маргоға артықшылық жоқ.,1
"Сіз Педрюхаға жауап бересіз, сіз басқа хабарландыруларыңызбен, сіз өзіңіз лайықты жіпті аласыз.",1
"Тұжырымдама бойынша, бұл оған үнемі орын алады, ал ол алғаш рет өмірбаянда сипатталған: өмірбаяннан: өмірбаяннан: бір уақытта хопак.",0
"Deus Exx, Ololo-да жазбаларды оқыған жөн",0
"Бұл тағы бір, қорқытылған қоңыр және оралмаған",1
Батырдың бір дабы осының бәрін оның барлық сабақтарын өзінің эпохалдық сюжеті мен харизмасымен бірге жеңеді.,0
"18. Мен оларға түзу қарадым, олар мені алдымен көре бастаған.",0
Аха!,0
Сталинді беру сенсациясы!,0
"Нәтижелер: шамамен 176,000 мылқау леброн қайтадан жұқтырды.",1
"Кеше Невзоров аудандарының хош иісті ауасы, Кеше Глебич тозақ фариямен өртенді, ұзақ уақыт бойы ол мұндай жылды бермеді.",0
Немістерді оңай оңай англо-Саксоннан ажыратуға болады.,0
Морон-Кукольд сіз білесіз бе?,1
"Резонансқа барған тақырып стерильділікті, ауызша ісінуге бейім екендігі бұрыннан бері анық болды (И.П. Павлов).",0
"Керісінше, бұл әдемі.",1
"Бастард құлады және олар барлық бюллетеньдерден өтпей, олар қалай болды?",0
Мұнда ешкім сізбен сөйлеспейді,0
Жартылай сағат сияқты,0
Менің анам 10 жыл ішінде зейнеткер.,1
Мен неге ұйықтаймын?,0
Хложиди бай пикрилмен ақтады,1
"және ең күш 5, сізге не үшін неғұрлым кең жолдар керек?",1
"Сізде кішкене киска бар ма, әлде оны анадан жібере аласыз ба?",0
Неге сонша ақымақсың?,1
"Левада әлі де осындай көлемді толық талдай алады, мұндай технологиялар ORCS ретіне сәйкес келмейді",1
"Мен оны өзім сатып алмадым, мойындаймын.",0
Интернет байланысы жоқ.,0
Неліктен миды жеуге болмайды?,0
"Киевтен, 19-да, егер мен бұны 19 жаста, егер мен оны бірінші рет жасауым керек болса, 30-қадамда есек роктарына бардым. Мен в-Пасажирскийдегі вокзалға дәретханаға бардым - хат жазыңыз",1
Бәрі дұрыс айтты.,0
Мүмкін ол әжесінің жерлеу рәсіміне қайырымдылық жинайды?,0
Жырма.,1
Махун үшін бригадасы мен Че үшін Че?,0
Ұялған.,0
"Біреу зымырандарды іске қосады, ол розосмосқа айналады, ол сіз жуып жатқанды естігенді естігенде, естігенде, оңай.",1
"Сіз Ресейдің бүкіл әлемде, Ресейде емес, бүкіл әлемде нашарлағанына сенімдіміз.",1
"23:20 Сосницкий, Плез өзгергеннен келді.",0
"Теорияда бұл ұят, бірақ үзілістер өте мақтанады.",1
Не.,1
"Өздеріңіз білесіздер, UKR INA (i.e. ofr), ХХ ғасырдың 2-ші онжылдығында тізеде мас күйінде тұрып, ХХ ғасырға дейін тарихы жоқ.",1
90 мұны істемейді.,1
"Оны жеңіп, Путин - ENB қабылдағышы, ол АҚШ-тың вассалы ұсынған.",1
"Сіз әңгімелесесіз, кәрі төсек астында, іздеңіз",1
"Не болады, lol?",0
"ол тіпті ол тіпті трек-адамға концерттерді ұстайды, бірақ мазмұны жоғары болды",0
"Тоқтаңыз, Қырымдағы Вячеслав Викторовичке дейін өкіну, кешке дейін",1
"Ол жерге қалай жеткен едің, біз сіздердің қаншалықты көп екеніңізді түсіндік, біз сіздердің көпшілігіңізді түсіндік, сондықтан біз барлық парақтарды сүртіп, мәселені шынымен түсінбейміз.",1
Мен сенімен бірге жүрген хуёшос еврейлер?,1
"Мен сені және Google Captcha, Fag",1
"Дәмді дәмді шырынды, сондықтан зәйтүн зәйтүні, тұзды уақыт пен розмариннің ауырсынуына дейін, менің сарымсақтың пышақ демеушісі",1
"Міне, Yandex Captcha нормалары",0
Сіз жақсы төледіңіз бе?,1
"Ешкімге ешкім, пропагондон, тайпалар, теледидарлық монополия, сендер ақымақ және жанкүйерлер бар, ал сенің жанкүйерлерің жасөспірім ақымақ, бірақ мен толқуларым жақсы, бірақ бұл туралы жақсы және жарнама берушілер оны тікелей төлейді",1
Ресейдің кез-келген азаматтары Хохли.,1
Ол жүрді.,1
"Көріністердің үзілістері мен тіпті Кинтста 3D-де (өте керемет керемет, қатты көз кәмпиттері) дайын ойыншы",0
Тек масштабтар,1
Бүгін Волгоград аймақтық сотта 34 жастағы микроавтобустардың адвокатының үндеуін қарады.,0
"Ордасы келіп, кискалар бергеннен кейін олар орыстар Ресейге емес, қарақшыларды қастерлеп, олар Ресейдің қалаларын бұзды",1
Какулд Чемпионатының кейбір түрлері.,1
"I.E. Егер сіз төсенішпен жалпы қабылданған гипотезаны түсіндірсеңіз, онда гипотеза қандай?",0
Жақсы және Sca Last сілтемелер лақтырады?,1
Осындай құбыжық Либерташ Ресей Президенті ретінде көргісі келеді ме?,1
"Сол жылдары біз өткізген тасымалдаушы-қадамдарды солтүстік Оралдың тұрғын үйсіз аймақтарына тастадық », - деді Соргин.",0
"Хм, кеңес үшін рахмет.",0
Бұл редиспен маневрлік солистің алыпсаталуы және олар тақырыптарға сәйкес келеді.,0
Күдіктілердің бірі құрбаны персонал түрінде зорлады.,1
Қандай семіз ескі ақымақ!,1
"Насаның жарылысы: «Орыс тілін сүйетіндер үшін» дейді: Орыс тілін сүйетіндер үшін Леонов бар, ол барлық өмірі американдықтардың айда болғанын, дәл осындай мәлімдемемен ерекшеленді:",0
"Жаудың мергені 24-ші НИГУИ бригадасының трансплантацияланған дәрігерін өлтірді, украиндар да әр бригада хирургиялық қалдықтарда толық уақытты маманы бар ма?",1
"Мен жалпы өтіп кеттім, бірақ аватарлар мен ақшылдардың назарын қысып, қалталармен бірге форумдарға жіберіп, басқарылуы керек.",1
Жылқылармен сөйлесу?,1
"Қандай жалған өрнек, ақымақ.",1
Бостандық сөзімен егіз ақымақ адамдар аузымен және қоқыс малымен ұрып-соғатындығын түсінеді.,1
Тақырыптың қандай пайдасы туралы ақпарат бар ма?,0
DGenerates-тен айқайлайды Samokritichno,1
"Сізді, кокерельді алмайтындай етіп қараңыз)",1
"Жасыратын жерді қайтарыңыз, маймыл !!!",1
"Жақсы, бұл ешкімге өкіну емес, өйткені Путиннің PR-дің бөлігі ретінде, Путиннің PR-дің бөлігі ретінде жасалған, өйткені Путиннің PR бөлігі, сонымен қатар, Путин сияқты Clickbait Shites, мысалы, мыңға ұмтылған.",1
"LOL, FAGOT міндетті түрде мүйізді шошқаға салады, сондықтан ешкім Құдайға тыйым салады, сондықтан бұл украин деп ойлады.",1
"Мұның бәрі жала жаппасы, бірақ жала жаппаса да, гуру басқаларға қарағанда әлдеқайда лульц пен мәнерлі, сондықтан ол әлі де керемет",0
"Fuck, мен шорт-шорттарды ұрдым.",1
Біз сіздің Барнаулыңыз Хохловқа не керек?,1
"Идея жақсы, бірақ украиндықтар мұны ешкім жасамайды",1
Оның шошқасы жоқ: ол қаламын алып тастады.,1
"Табылған, бұл крол түсіп, мен жазыламын.",1
Маған тарихта ешкімді өлтірмеген ел беріңіз.,1
"Fuck Go, мен сізге бүкіл жіптерді оқыдым ба?",1
"Онда ұятсыз, ескі скумбрия домаланып кетті.",1
Леша Пинкин жіптері мен түйіршіктеріне толы.,1
"Роликтер - жазық актері бар нәжіс, ағындар - FUCK.",1
Казимирка біртүрлі.,0
"Сонымен, бос ғимарат (!!!) және екі қытай - бұл бүкіл трансформаторлық кеңсесі ғана жеткізілмеген.",0
"Мал малы айғайшылары қайтадан жағымсыз, ахаха",1
"Дима, егер біреу жеке болса, онда бұл сіздің анаңыз.",1
Украиналықтарға қоштасу жіп қашан болады?,1
"Вольнова шелекке ілінді, сіз не туралы сөйлесесіз?",1
"Fuck Ygor 25 немесе қанша жазба ойыншысы бар, ол үшін киска жақында ғана өткен.",1
Олардың біреудің мүлкін жою ниеті болмады.,0
Шығармашылық пен ақшаның қалай табысты болуының керемет мысалы.,0
Бұл Расянин бәріне ақы төлейді.,1
"Жарайды, Парламент болсын, бірақ шаң, бірақ шаң парламентте қалай әсер етеді, егер ол оның мүшелерінің бірі болса, бұл парламентте қалай әсер етеді?",1
Жалған - бәрі.,0
"Осы батыл, моронмен не айтқыңыз келді?",1
"Егер пайдаланушы ережелерді бұзса, оған тыйым салу керек.",0
өз агентімен көпшілік алдында сөйлеуге тырысады ????,1
Иттерді иттерді сындырғыштар,1
"Бұл алғашқы шұңқыр, Русня!",1
"Путинде - сәбилер, кішкентай қате, ленинградтың ішінен.",1
Тек модермен бірдей Кукольд,1
"Егер түсірілім жарты жыл бұрын жасалса, онда ол жарты жыл бұрын жарияланады.",0
Сіз Podpindowy либерализмін ұнатасыз.,1
"Неліктен бұл венал, майлы бальзан Huimrazi, мұндай жалған милф болған кезде?",1
"Бұл маған көпшілікке ұнады, олар өздерінің абоненттері - үзілістер деп атайды.",1
"Оп Дик соншалықты жартысы, ол күдікті болып табылады.",1
"Айтпақшы, кәмпелі Құран туралы әзіл айтады.",1
"Кукарек Кукарек, мен оны түсінгенімде, бұл жағдайда айтуға ештеңе жоқ па?)",1
"Петро Пидорошенко қазірдің өзінде мұсылықтар оны бас фагот деп таңдамас үшін, Мұзовиттер мұны жарып жібергені үшін шұғыл мәлімдеме жасады.",1
Неліктен олар соншалықты қатты?,1
Әрекеттегі табиғи таңдау.,1
"Оттизация, Кубаноидтар орыс емес, сізге оны қалай бөлу керектігін анықтады, бұл оны қалай бөлу керектігін, дәл сол жерде орыс Жер Жері, Қара теңізге шығады, бірінші, Ресей, Ресей, Империя!",1
шай.,1
"Жалпы, кейде ата-аналарымыз осы қорқынышты және қорқынышты уақытта өскеніне таңғаламын, ал жалпы балалары бар.",0
Жаратылыс өлді және оның жанында.,1
"Иә, мүлде.",1
"Гуру презерватив болады, неге ол болады?",1
Осы шіркеумен бірге көптеген тяндар сіз 10 өмірден аулақ бола алмайсыз.,1
Бұл әдеттегі ақ адам.,1
Бұл қуат нағыз дастарханға қалай күреседі.,0
Бәрібір арзан.,1
Сіз жай сизосыз.,1
"Ақымақ, мен осы Шерлокпен қалай жасырамын, жыртылуға көз жасым",1
Неліктен жылдамдықты жылдамдықпен жуық жуан жыландар бар?,1
"Егер Лахти сияқты бір нәрсе көрінсе, онда Лахти тәрізді және оны Лахти сияқты алып тастаса, неге төсектің астындағы шизо іздейді, бұл іс жүзінде Лахти.",1
"Біз Ватонеминнің Ридевтілікті тексеріп, Хим ағындарының қонақтарын үнемі тексеріп отырамыз, тек барлық бөшкеде штепсельдік ұшты шақырасыз.",1
"Міне, Зогачтан шыққан Шизос ағып кетті",1
Тито оларда емес!,1
"Украиналықтар тәуелсіз дегенеративті, оңай.",1
"Өзім қарсылық білдірді, мен саяси педофиль емеспін!",1
"Монополия мен абсолютті монополия арасындағы айырмашылықты түсіну маңызды, өйткені соңғысы табиғатта өте екіталай, өйткені оның мәні өзінің таза түрінде коммунизмді білдіреді.",0
"Жыл басынан бері 40 мыңнан астам ресейлік өзін-өзі жұмыспен қамтығандар туралы мәлімдеді, бірақ көп ұзамай адамдарға өздерінің есепшоттарын бітеп, жеке тұлғаларға жеке шоттарды пайдалануға тыйым салады, олар жеке тұлғаларға бизнес жүргізуді болдырмауға тыйым салады.",0
Бұл жерде Видодан басқа адам жай көрінеді,0
"Шаң да геноцид, екінші науқандағы шешендер, содан кейін грузиндердің геноциді, қазір украиндықтардың геноциді.",1
"Fuck, бөтелке мен Шешенстанға сәйкес келеді, бұл қазірдің өзінде бір-біріне ұқсайды.",1
"Аргентина, оның түбінде, қалған латын пиндос сияқты емес пе?",1
Талғампаз және тиісті жерлеу туралы әлдеқайда жақсы болды.,0
"Рассосвайна шын жүректен, орыс халқының арманы деп санайды, орыс халқы әлемінің ұлғаюына сенеді, яғни этникалық орыстар мен орыс тілдерінде орыс тілшілері республикадағы орыс тілінде сөйледі",1
МЕНІҢ МЕНІҢ МЕНІҢ МЕНІҢ ЖОҚ.,1
"Бүгін, бүгін мерейтой!",1
ЖППУ Хачам және басқа ниграмдар береді,1
"Казимиркода дегенеративті және шекті идеологиялар туралы аз кітап жазды, ол өзін Егоркаға, Каминеттермен және басқалармен бірге таныстыруға мүдделі ме?",1
Ресей экономикалық есептілік жүйесін өзгертуде.,0
Мен өзімді тез қалпына келтіруге және Видосын Александрмен толтырдым.,1
"Кез-келген фаг, олар қазір де, ешқандай қарасорасыз жасайды.",1
Ko Ko Ko экономикалық тұрғыдан қолайсыз ба?,0
Жириновскиймен тез пикчу!,1
"Бәрі жақсы, ақымақ Говго дәл қазір модераторларға жазып отырмын",1
1. Старбакс бағаларды төмендетеді 2. Старбакс банкрот кофеханаларының ұпайларын сатып алады,0
Двачу 127 Мен Dvach-тен көп нәрсе деп ойламадым,1
"Shink, неге сіз бүгін аватарсызсыз?",1
"Мені айтпаймын, менде ешқандай күш жоқ.",1
Emelyanenko bader 2019 жылғы 26 қаңтарда жас американға қарсы ескі меринус болжамын,1
"Сізді зорлаған екіншіден, сізді нәсілшілдер!",1
Essence: Росстат 200-де саясаттандырылған және бірінші арна қажет жаңалықтарды береді.,0
"Натхуды өте азиялық құдайға қарағанда итерген дұрыс болар еді, өйткені Натас ешкімге қарсы емес",1
"Иә, онда кішкентай Русчков жеткілікті өмір сүреді, кейде олар қылмыстар жасайды, бірақ мен тіпті майы мен Погромдар туралы ести алмаймын.",1
"Екі қолмен, жақында көптеген украиндар қайда жүгіргені анық емес.",1
Сіз өзіңіздің анаңыздың ұранынан қайдансыз.,1
Путиннің билігі барлық нәрседен қорқады.,1
Зұлым мусковиттер теріні бетіне бүлдірді,1
"Бұл тіршілік иелерін максимум трансветиттермен тартып, мен айтқым келді.",1
Сіз қожайынға қызмет етесіз бе?,1
"Рузка бұл дұрыс, руханият пен жылдамдықпен, осы ақ келесектермен, тозаққа, тозаққа ерекше әсер етеді, мен барлық орыстар ақтармен байланыстырмас үшін, барлық орыстар көмірмен жағуды ұсынамын.",1
"Неліктен Толик гейлік ұйымдарға өз құқықтарын қорғау үшін жаңалықтарды жібереді, неге ол, әрине, барлық қозғалыстарды біледі, алайда ол жерде өмір сүреді, олар енді бірнеше қалаусыз жіп жібереді,",1
Құлдырау.,1
"Fuck, сондықтан әлемді айқын баурап қою, мүкжидек сияқты.",1
Мүлдем жоқ.,0
Мұндай античрист орыстарға арналған,1
"Ол ақша туралы, бірақ айына 150-200K-дағы көпшілігіне керемет түседі",0
Бірақ бұл объективті Хиу.,0
Ешкім жаңалықтардың мағынасы Ростықтың өтірік шығаратынын айтпайды,0
Сіз бір-біріңіз бір-біріңізбен айналысасыз.,1
"Ряйайайайайайайайайайайай, Нипакнид, Скооптың тиісті сынлығы, жұмақ, сценарийлерден жасалған нашақорлар мен бұрмалар, редакторлар қисайған.",1
"Мұсылмандар мен фаготтарды басқарудың орнына, әдеттегідей Русня басқа опцияларды көрмей, мұсылман шебері үшін қарсы бола бастады.",1
"Ал, иә.",1
"DVACH-тен қону туралы жаңалықты табуға болмайды (мен оны сынамадым », бірақ VC қонуы туралы көп нәрсе істеуге болады.",0
"Капитализм жарнамасыз бола алмайды, яғни алдау және алдау.",0
Бас қолбасшы штаб.,1
80 млрд.,0
Шошқа-Гитлер достарымен сыра алмастырған түні ренжіді.,1
Эдвард Билл сізді есекке ұрады ма?,1
"Сіз ақ нан, қант, қант, майлы тұшпара, маясық, темекі және кешкі пивот стендтері, кешкі ассыз ба?",1
Сисяофайлдар мен грильдер саңырауқұлақтармен жыртылған.,1
Нарықтың қалыпты жағдайы - ең төменгі бағаны табу.,0
Ресей Хохлотта не істеуі керек?,1
Жіптің жеңетін алғашқы қосымшасы!,0
"Ал, YouTube-те, шамдардың сұранысы бойынша мен қарадым.",0
Бірақ мұсылмандардың айналмалы төсектері емес.,1
Бұл сіздің сіздің тағайындалғаныңызда сіз өзіңіздің бәсекелестеріңізден асып түсетіндігіңізбен айтылады және бұл Дені сау адамның монополиясы.,0
Петушари PR бөлімі үшін төленді?,1
Ал ол не жазсын?,1
Жақында сізді жағу анти-ресейге қарсы жыртылады.,1
"Адамдардың стандарттарында кем дегенде екі дәретхана бар, үйдің бірінші және екінші қабатында.",0
"Сіз не істеп жатырсыз, ақыл-есі кем асырылып жатырсыз?",1
Ақшаға параша Тудиге буға пісірген Хулан.,1
Балықтар туралы - сөз емес.,0
Хоули сіз оған бардыңыз ба?,1
"СТН, бұл биомассаны біреу сыйға тартады ма?",1
Нөлді жариялау туралы қайдан алдың?,1
Соколовский Бұл татархонда кешендер бар ма?,1
"Содан кейін осындай салықты жалтару үшін 20 жыл алыңыз, мысалы, АҚШ-та, дұрыс па?",0
"Ия, қақтығыс қазірдің өзінде толқып, Рашкадан барлық кесектерді шығаруға мүмкіндік берсе де.",1
Неліктен мұндай иррационалды адам билікке ұмтылуы керек?,0
"Жақсы, сіз мылжыңдамыз.",1
"Сіз полицияға қоңырау шалыңыз, сіз мекеменің мекен-жайын айтасыз, сіз ақымақ сияқты қорықсыз ба?",1
"Анасы - дизайнер, туысы - бұл пластикалық хирург, ал бір-бір жасқа қайын сіңліс - алыс қашықтық теңізші.",0
Мен сіздің назарыңызға маэстроның поэтикалық беттерін аударамын.,1
"Ия, содан кейін ғана омегиялар мен тосқаулар болған жоқ.",0
НАТО үшін қазақтар мен кісілердің бұл құрметті ақ адамдардың ешқайсысы маңызды емес.,1
"Шит-Ин-Моче.jpg Алайда, ХуямануксеБіловтен, екіншісі күтілмеді.",1
Мен саған духта отырмағанымды айттым.,1
репертуарындағы FAG елі,1
"Орыс ғылыми мекемелері бойынша сауда-саттықтағы сауда-саттықтың сауда-саттығы өзіңізді осы жерден өлтіреді, мектеп",1
"Жаппай орыс әкесі - яһуди, Хохлушың анасы.",1
"Кобцы ауылында Киев облысы, құқық қорғау органдары жалған алкоголь өндірісі үшін жерасты семинарын ашып, таратқан.",0
"Қайта ақтаңыз, арзан Соколов?",1
Ұсталған ба?,1
Орташа құны бойынша оқу жылы 40к.,0
Михаил Ходорковский - Ресейдің патриоты!,1
Сізге Mimo-Abu беті тыйым салды,1
Мүмкін ол отқа отын қосты.,1
Бұл фагот нақты агрессия мен ирония арасындағы айырмашылықты көрмейді.,1
Тағы да мен сіз кәдімгі адамдар сияқты ақымақтармен сөйлесе алмайтындығыңызға тағы бір рет.,1
Негізінен мен мазмұн үшін төлемеймін.,0
"Сұрақ: Неліктен капитан Торпедоны қолдануға мүмкіндік бермеді, бұл маған тіпті азаматтық маған өте айқын.",0
"Кеңес USRARRARY-дегі ескі ірі қара малын бітірді, кеңестік зейнеткерлер ұзаққа созылды",1
Адам әзіл жасай алмайтындай.,0
"Мен маргот бейнесін сұраймын, ол жерде ол айқайлайды, ол мені айқайлаған жоқ",1
"Сонымен, бір Ананның Хохлуха әжесі немесе Ростов облысынан болуы керек.",1
"Бізбен бірге бүкіл тыныштық - кедей фагот, бірақ ешкім назар аудармады",1
"Сонымен, ол бұл жағдайда не дейді?",1
Лахти деген не?,1
"Сіз оған аномалиялар туралы айтып, ол сізге ант еткеніңіз туралы айтты және ол саған саңылаулар туралы айтты.",1
Сәлем саясаткер.,0
Ренетикалық орысша не дейді,1
"Міне, ұлтшылдар, хирург, шынымды айтсам, менің өзімде, Ололо, қырыққабат сорпасы бар.",1
"Егер ағын болмаса, қоңырауға қалай қарау керек?",1
"Енді Путиннің Цутиннің қасынан қашып кеткен отбасын көрсетіп, Друнбаста.",1
Фукты табайық.,1
"Egor - бұл медиа-канал, және орыс халқының бір бөлігі емес.",1
Кенеттен қағаз пакеті жеткіліксіз болады.,0
"Мұның бәрі Тайландқа ұзақ уақыт кеткен кезде басталды, менің ойымша, бір ай немесе одан да көп, менің ойымша, '14.",0
"Мен білмеймін, мен тек электронды оқыдым.",0
"Қарттарды қызғамайды, Жеңчканың басқа идеяларын соттардан кейін сүйреу, бұл оның атын басып озды.",1
"Сіз артқы доңғалақты жете аласыз ба, сіз әлі де ер адамды аяқтайсыз",1
Бұл дұрыс.,1
Және ол не істеді?,1
"Коммунистер мен либертарианттар Бро, ал Светов фагпен төледі.",1
Неліктен ол қоңырау шалуды тоқтатады?,0
Неліктен барлық араб елдері яһудилердің жаратылыстарынан түсуге тырысып жатқанын еске салады?,1
Бұл аяқталған батырманы бірінші рет қолдандым.,1
Ұрықшы хакстер баринге әжелердің дауыс беруіне және оны ешкім көрмейтініне дейін тегістеуге шақырды.,1
"Ал, ағында славяндарға сәйкес, ол қатты, ежелгі укрукті қатты қуып шығарды.",1
"Ақымақ, жалған.",1
Және сіздің нәжісіңізде.,1
Бұл жерде украиндар қайда?,1
"Канада - украиндықтардың Кукольдтардың баспасы, олардың гаитиялық Раску екендігі таңқаларлық емес.",1
Жұтқасы бар,1
100 мыңға арналған көптеген бұталы фанталар бар.,0
"Хахахахахахахаха Рахмет, әйтпесе, мен шағын далаларды қамтитын егеуқұйрықтың кім екенін білмес едім.",1
Вангю Мұны кокс үйі мочердің өзі жазады.,1
"Спам парағын енгізгеніңіз жөн немесе Bordeux типті терминдермен авто-ауыстыруды қосқан дұрыс: жалаңаш, жалаңаш, жалаңаш, қорлау, қорлау, шизоид, скумсоч, рапунцель",1
"Украиналықтар, Плез!",1
"Порошенко-Путиннің сыры, сондықтан ол Украинаға жақсы болмайды.",1
"Сурдин ювеналды морондқа қатысты ХС-ке, vkata-ға арналған таратады.",1
"Бұл трал, Довн.",1
Және бірден осы құлнан айқайлады.,1
"Сіз Масву туралы жазыңыз, Ростов немесе Омск қалаларында не салынғаныңызды жазыңыз",1
"Егер бұл жалғыз табыс көзі болса, онда ол yusei үшін өте аз.",0
"Вата, әрқашан, өтірік, ақымақ!",1
"Мен оны соңғы 3 айда көрмедім, сондықтан мен білмеймін.",0
"Оларды еліктейік, олар соншалықты жейді және қояды ма?",0
Евгений Николаевич.,1
"Антропогенез сайтында дәлелдер тобы Антропогенез.Ру олардың мимокодердиялық музыкант бәрін жоққа шығарды, ол осы дәлелдерді оқытатындардың деңгейін жоққа шығарды",0
"Мұнда ешкім келмеген, әсіресе анонс Шизофрениямен отырғанды ұнатады.",1
"О, лол.",1
"Бұл морон әлі күнге дейін біреу оның кискасына сенеді, ол шынымен қаншалықты кедей екеніне сенеді?",1
Оның әйелі соратын бейне бар ма?,1
"Мен өзімнің қаруыма лақтырамын, мен сынға және жазылушыларға қуаныштымын: 3",1
Неліктен ол украиндарды жек көреді?,1
Онда CHMOSHNIKI OVE тогы жоқ,1
Шұңқырды айқайлаған жанұялы кокскер.,1
"Мәселе мынада, тақырыптар түсіндірместен жойылады.",1
"Әкем - Крест, ана - орыс.",1
"Сіз дик болсаңыз, онда сіз бұл жерде айтқыңыз келмейді.",1
Барлығы: төсеніштер - барлық түйіршіктер емес.,1
"Тек осындай шаштаразбен, тек осындай шаштармен қозғалады.",1
"Батик Коммунистер, Кеңес Одағына батып бара жатқан, сіз сол жерде, жолда басын ұрдыңыз ба?",1
Сіздің агрессиясыңыз және біз не көреміз.,1
"Түнде киінген, түнде мешітке барған беткейі бар короз.",1
"Ең қызығы, бұл бүлінуді қорлау мүмкін емес, әйтпесе саңырау сөздер .. Бұл кез-келген режимді жабу басталған кезде кез-келген режимнің басталуы.",1
Пидора - бұл тек украин фамилиясы.,1
Шошқаның Dida Fucking Type көрінбейді,1
Казимирко өзі өзін ұятсыз жүйе ретінде.,1
"Мұрын Диктегі Fucker байқамайды, лол торт.",1
PIDARAS-те Ponasenko-да өзін-өзі бағалаумен бірдей жаман.,1
Amazonian otters,1
"Бірақ егер ол болса, ол тірі қалады.",1
"Лил, қайырымдылықтағы біріктірілген ағынмен, Хеккан ақымақ байттары.",1
Соңғы сәрсенбі өте жақсы болды!,0
Сондықтан сіз оларға бұл моншақты шошқалардың алдына лақтыру үшін ұнамсыз,1
"Бүгін ол демалып жатыр, ертең ол казино ағынын кесіп, содан кейін келесі күні казино мен ән айтады, содан кейін екі күндік релаксация, ондай емес, жасырын, құшақтасу, бір қатарда да сол екі күнді жібереді",0
Ұйықталу үшін малды ұстану керек.,1
"Қытай Қазақстанда автомобиль жолдарын салды, егер олар бұрын болмаған болса, осы жолдар бойымен Еуропаға тауарларды жүргізу үшін.",0
Праваки сол шапан су басқан.,1
"Тағы бір әйел жүгіруді жақсы көреді, киска және көк түсті.",1
Әдетте өте оғаш капитан алынады.,0
